date,state,customers_elec,price_elec,revenue_elec,sales_elec
2001-09,ND,,5.92,44.68209,755.02898
2001-09,NC,,7.09,780.05587,10996.11103
2001-09,NY,,12.02,1564.07236,13013.34506
2001-09,NM,,7.36,124.11373,1687.31688
2001-09,NJ,,9.75,622.39176,6384.32653
2001-09,NH,,10.04,83.4938,831.84015
2001-09,NV,,8.62,231.73743,2688.15774
2001-09,NE,,5.88,126.36108,2147.91202
2001-09,MT,,6.22,57.92143,931.31488
2001-09,MO,,6.13,374.42853,6105.23584
2001-09,MS,,6.68,284.03324,4251.0045
2001-09,MN,,5.81,291.13582,5011.36765
2001-09,MI,,6.88,562.61901,8177.18087
2001-09,MA,,13.03,545.95965,4190.54456
2001-09,MD,,7.32,371.37429,5073.05027
2001-09,ME,,11.37,102.19778,898.85499
2001-09,LA,,6.48,450.27392,6949.53428
2001-09,KY,,4.37,289.41636,6623.59752
2001-09,KS,,6.47,195.98462,3029.73399
2001-09,IA,,6.39,196.95045,3080.42688
2001-09,IN,,5.29,432.57839,8183.99251
2001-09,IL,,7.43,832.42167,11198.585
2001-09,ID,,4.86,79.00332,1625.39869
2001-09,HI,,14.12,119.69568,847.58731
2001-09,GA,,6.51,677.17517,10407.9602
2001-09,FL,,7.93,1571.01523,19800.04381
2001-09,DC,,8.45,76.05502,899.61619
2001-09,SC,,5.6,388.47937,6934.87403
2001-09,RI,,11.41,67.39764,590.84166
2001-09,PA,,8.19,915.53989,11172.79464
2001-09,DE,,7.72,79.40274,1029.16178
2001-09,CT,,9.7,232.81408,2398.94845
2001-09,CO,,6.66,264.60636,3975.55517
2001-09,CA,,13.13,2704.73577,20600.89551
2001-09,AR,,6.44,262.27541,4072.3678
2001-09,AZ,,7.77,476.34214,6130.78171
2001-09,AK,,10.24,44.04725,429.95111
2001-09,AL,,5.56,395.18199,7102.06398
2001-09,OR,,5.22,173.66972,3328.8847
2001-09,OK,,5.58,273.28665,4900.22223
2001-09,OH,,6.75,827.65692,12256.32207
2001-09,WY,,4.63,48.02965,1037.63341
2001-09,WI,,6.11,323.75935,5299.94344
2001-09,WV,,5.01,107.91356,2155.97279
2001-09,WA,,5.51,285.18726,5172.25424
2001-09,VA,,6.22,482.00056,7752.66492
2001-09,VT,,10.76,48.57742,451.62442
2001-09,UT,,5.11,102.77242,2010.01096
2001-09,TX,,7.65,2427.92482,31737.43274
2001-09,TN,,5.61,497.65987,8870.96192
2001-10,ME,,10.63,102.60198,964.8297
2001-10,CA,,12.74,2752.25922,21599.95702
2001-10,AR,,5.67,189.82587,3347.34134
2001-10,AZ,,7.71,412.41941,5346.71813
2001-10,AK,,11.19,48.96076,437.61982
2001-10,AL,,5.49,328.63523,5983.28302
2001-10,CT,,9.75,230.49799,2364.72177
2001-10,CO,,6.32,229.00085,3620.81002
2001-10,LA,,6.55,406.12812,6203.51376
2001-10,KY,,3.97,259.36801,6532.59167
2001-10,KS,,6.15,163.93754,2664.25965
2001-10,IA,,5.84,180.78344,3095.74727
2001-10,IN,,5.47,419.2168,7661.98906
2001-10,IL,,6.92,712.1367,10292.93571
2001-10,ID,,5.13,80.36836,1566.49835
2001-10,HI,,13.9,117.07632,842.21249
2001-10,GA,,6.27,569.49721,9075.86473
2001-10,FL,,7.73,1271.14569,16447.20307
2001-10,DC,,7.37,62.32703,845.6299
2001-10,DE,,7.05,59.83006,848.10316
2001-10,WY,,4.6,48.02515,1044.70709
2001-10,WI,,5.96,315.11791,5284.01062
2001-10,WV,,5.07,110.6526,2182.73095
2001-10,WA,,5.6,312.45493,5575.6342
2001-10,VA,,6.1,443.74487,7271.71955
2001-10,VT,,11.03,48.61947,440.75259
2001-10,UT,,5.32,99.59773,1870.54497
2001-10,TX,,7.38,1885.01758,25531.79504
2001-10,TN,,5.52,397.56532,7198.0863
2001-10,SD,,6.26,40.61184,648.82039
2001-10,SC,,6.08,353.55545,5819.64235
2001-10,RI,,10.65,64.31913,603.74289
2001-10,PA,,7.95,835.09484,10501.88256
2001-10,OR,,5.74,195.23125,3398.90566
2001-10,OK,,5.67,191.68646,3381.42477
2001-10,OH,,6.62,808.54984,12207.12612
2001-10,ND,,5.56,42.99743,772.90709
2001-10,NC,,6.45,582.58348,9032.0111
2001-10,NY,,11.83,1329.74833,11238.72296
2001-10,NM,,7.4,113.06098,1528.03752
2001-10,NJ,,9.11,527.54345,5790.06219
2001-10,NH,,11.0,90.17793,819.93248
2001-10,NV,,8.14,177.21975,2177.45073
2001-10,NE,,5.27,100.12872,1900.95493
2001-10,MT,,6.13,54.25197,884.40026
2001-10,MO,,5.58,295.81249,5298.72661
2001-10,MS,,5.86,209.76563,3578.79036
2001-10,MN,,5.44,264.09404,4850.4371
2001-10,MI,,6.82,558.49998,8194.91648
2001-10,MA,,12.05,503.61301,4177.92854
2001-10,MD,,6.16,283.99133,4610.16153
2001-11,AZ,,6.37,282.4918,4435.32443
2001-11,AK,,10.68,51.93896,486.52873
2001-11,AL,,5.39,313.09223,5811.72204
2001-11,GA,,5.94,500.6059,8433.86186
2001-11,FL,,7.64,1148.4791,15034.31729
2001-11,DC,,6.66,53.64739,805.88434
2001-11,DE,,6.72,56.42291,839.40699
2001-11,CT,,9.6,224.44351,2337.41468
