date,state,trips_pop_at_home,trips_pop_not_at_home,trips_n_total,trips_n_lt_1,trips_n_1_3,trips_n_3_5,trips_n_5_10,trips_n_10_25,trips_n_25_50,Number of Trips 50-100,trips_n_100_250,trips_n_250_500,trips_n_gt_500
2021-10,MI,49585.357142857145,188196.95238095237,971602.0042242703,285820.02419354836,229331.5875576037,110097.58986175116,135546.6424731183,141511.06259600614,45597.42741935484,14792.679723502304,7010.189708141321,1249.4804147465438,645.3202764976959
2021-10,MN,26210.757697947214,101962.69684750734,534225.8262463344,156637.28225806452,124620.54105571848,55705.814149560116,69368.57368035191,82467.27529325514,29114.30681818182,10372.307917888564,4724.95637829912,641.924853372434,572.8438416422288
2021-10,MO,22963.63515016685,82854.08898776419,396272.0005561735,114013.71968854283,92970.42714126808,44018.19688542825,56976.361234705226,56364.27113459399,19437.60233592881,7095.514182424917,4301.010011123471,712.329254727475,382.5686874304783
2021-10,MS,13471.732866043614,58379.748052959505,236215.8422897196,57273.81230529595,55074.345794392524,28853.441978193146,37582.197040498446,35284.75739875389,13578.784267912773,5412.080218068536,2490.340342679128,544.856308411215,121.2266355140187
2021-10,MT,8540.429234338748,29881.839327146172,134269.27436194895,35315.91299303944,39220.77726218097,15583.972157772621,16841.430394431554,16366.531902552204,5925.6426914153135,3074.9361948955916,1604.1879350348029,192.57656612529001,143.3062645011601
2021-10,NC,39803.17630150112,167881.6553816672,825636.5081443628,222227.4816352603,200688.50622804216,101967.03449377196,133112.7160651549,113164.37336314276,33766.01053976365,12284.233791121047,6816.139252634941,1126.7496007665284,483.26317470456723
2021-10,ND,5825.9293974437005,22916.65124771759,107195.80706025563,30681.202678028,27982.433353621425,13478.309190505173,15259.093122337188,10850.15763846622,4685.676810712112,2888.3280584297017,1085.4942178940962,205.86731588557518,79.2446743761412
2021-10,NE,8797.08097165992,35301.14574898785,178176.3099006257,52175.78836952521,46170.015826278985,21610.164151637837,25198.74199484726,20213.885535517114,7340.396393080604,3621.5057048214944,1512.691939639308,193.4019138755981,139.71807140228194
2021-10,NH,47123.99120234604,200096.19061583577,1090784.0586510263,281709.56011730206,278236.2346041056,126464.94428152492,146516.45747800588,164007.9384164223,62950.0586510264,25273.868035190615,4772.533724340176,328.90029325513194,523.5630498533725
2021-10,NJ,186248.85923753664,621222.9589442816,3329821.4501466276,999413.1260997067,838758.5923753666,347583.04252199415,462264.068914956,464631.9046920821,149028.63343108504,49730.2771260997,13630.231671554253,2697.285923753666,2084.2873900293257
2021-10,NM,25768.332355816226,101293.27370478984,558168.6774193548,159056.1964809384,143004.84261974585,70948.47214076246,81599.80351906158,64792.3137829912,19514.404692082113,10839.740957966764,6409.820136852395,1597.0615835777126,406.02150537634407
2021-10,NV,75555.5394265233,266684.01612903224,1379909.4336917563,442458.4032258064,291325.99103942653,164109.94623655913,249051.64157706095,187372.4283154122,24556.154121863798,9163.623655913978,7555.627240143369,2636.5286738351256,1679.089605734767
2021-10,NY,154307.77163338455,463265.5934459805,2936926.8637992833,872563.236047107,726317.4531490016,346506.9093701997,441939.4352278546,402369.4761904762,95981.92012288787,33619.67997951869,13795.973886328726,2023.436763952893,1809.3430619559651
2021-10,OH,55289.42442914099,207386.98006524102,1091280.4853207683,324704.8002899601,271562.62993838347,127615.96158028272,158270.5520115984,146165.95541862995,40109.59151866618,14866.217470097861,6228.105472997463,1071.6977165639726,684.9739035882566
2021-10,OK,21982.03722084367,79478.7576509512,357771.8908188586,103684.98966087676,85740.53101736972,42385.14392059553,49871.41191066997,48712.40363937138,15895.574441687344,7036.408602150537,3656.7526881720432,556.8217535153019,231.85318444995863
2021-10,OR,52076.628596338276,175909.15518744552,901593.2197035745,269298.4986922406,234468.3251961639,99696.48997384481,122419.47776809067,117437.53530950306,35450.67567567567,14414.823016564953,6597.802964254577,953.7567567567568,855.8343504795117
2021-10,PA,78859.10721062619,297669.9810246679,1516874.0782732447,433154.5962998102,385853.74525616696,178639.57922201138,221766.98576850095,197888.81261859584,59913.98339658444,26490.303605313093,10940.43358633776,1490.093927893738,735.5445920303605
2021-10,RI,71571.00537634408,281549.32795698923,1444142.0752688171,429965.27419354836,386985.0967741936,167287.4623655914,193006.01075268816,182292.98924731184,54858.97311827957,22281.74193548387,5775.548387096775,762.3333333333334,926.6451612903226
2021-10,SC,42024.48318462594,177069.7295813315,816350.0054907344,213188.60123541523,195680.9601921757,99753.53534660261,131640.21413864105,120949.62525737817,36087.498284145506,10791.770075497598,6606.660947151681,1179.079615648593,472.06039807824294
2021-10,SD,5151.180067404911,21256.55127587867,102131.15792007704,29632.859412614347,26267.607125662013,11436.715936446799,13716.959075589793,11819.298025999036,5187.043813192104,2543.18103033221,1279.9619643716899,166.18825228695235,81.34328358208955
2021-10,TN,28166.79435483871,114107.66397849462,556541.0564516129,151135.79301075268,130071.21337365592,67687.29200268818,84723.65221774194,82469.51008064517,26634.45564516129,7858.647177419355,4400.402889784947,1075.0997983870968,484.99025537634407
2021-10,TX,47149.562997177316,183500.45971259943,798904.0576084168,239319.64908904285,187006.62060559404,91308.92301770592,114370.75853220426,109972.9983320503,36404.85552989479,11637.279060816012,6369.470618424429,1578.831537079805,934.671285604311
2021-10,UT,47113.22150537634,166617.311827957,848304.4817204301,251368.4322580645,214878.63333333333,92472.48387096774,116473.05268817204,108685.888172043,42945.51935483871,12546.002150537635,5718.031182795699,1961.1634408602151,1255.2752688172043
2021-10,VA,25821.310544053926,101574.49542609532,522283.5633124699,149830.11916225325,125179.6653827636,61350.8813192104,77904.93957631198,71657.36350505537,22437.938854116514,8948.636254212806,3866.7636013480983,752.9260953298026,354.32956186807894
2021-10,VT,15688.462365591398,67510.07096774194,364683.8193548387,89297.42365591398,90633.92688172043,41407.131182795696,50616.56559139785,59049.6623655914,24609.31182795699,6761.376344086021,1855.4301075268818,259.84086021505374,193.1505376344086
2021-10,WA,85845.75403225806,294898.89596774196,1445184.6088709678,421801.72580645164,356569.55887096777,146600.9991935484,202994.6241935484,214645.4620967742,69077.17177419354,20545.910483870968,9753.178225806452,1167.116129032258,2028.8620967741936
2021-10,WI,30219.19001325674,129299.54971277066,697439.64162616,207718.68316394166,173080.46884666372,79025.79098541758,92863.2355280601,91120.80998674326,33108.48077772868,12838.718957136545,6348.204595669466,925.6451612903226,409.60362350861686
2021-10,WV,13177.627304147465,50827.62269585254,229634.4176267281,55400.6814516129,55539.89746543779,26768.51440092166,34823.17857142857,32977.258640552995,14037.360599078342,7050.864631336405,2647.6526497695854,314.8819124423963,74.12730414746544
2021-10,WY,10073.725806451614,38156.19086021505,200501.14650537635,57479.3629032258,58928.25134408602,26450.645161290322,21077.149193548386,17577.041666666668,11158.258064516129,4679.194892473119,2660.6438172043013,327.18817204301075,163.41129032258064
2021-11,AK,12466.186419753087,41610.961728395065,193394.74320987656,50250.06172839506,52067.23333333333,24322.79012345679,29826.84074074074,19323.51851851852,11235.846913580246,4726.975308641975,808.9074074074074,348.9246913580247,483.64444444444445
