date,state,consumption-for-eg,consumption-for-eg-btu,consumption-uto,consumption-uto-btu,generation,total-consumption,total-consumption-btu
2001-09,NC,,98.949,,6.083,9661.408,,105.034
2001-09,DE,,5.098,,0.651,440.667,,5.749
2001-09,CO,,39.236,,1.105,3664.53,,40.339
2001-09,ND,,25.984,,0.299,2312.952,,26.284
2001-09,AZ,,76.44,,0.22,7456.615,,76.661
2001-10,NH,,14.164,,0.196,1292.05,,14.359
2001-10,VT,,4.869,,0.01,459.148,,4.879
2001-10,MI,,95.414,,4.437,8887.867,,99.849
2001-10,ME,,14.917,,6.806,1567.777,,21.721
2001-10,NY,,118.947,,4.52,11419.73,,123.5
2001-10,MD,,42.272,,0.667,4139.41,,42.94
2001-10,AZ,,64.599,,0.265,6386.127,,64.867
2001-10,VA,,62.543,,7.495,5416.467,,70.03
2001-10,UT,,32.117,,0.237,3186.872,,32.354
2001-10,MA,,32.442,,1.348,3245.473,,34.511
2001-10,MO,,69.262,,0.501,6559.906,,69.762
2001-10,RI,,6.207,,0.105,745.31,,6.311
2001-10,WI,,53.003,,5.956,4773.84,,58.961
2001-10,HI,,9.683,,0.7,914.094,,10.383
2001-10,DE,,5.827,,0.894,536.848,,6.721
2001-10,CT,,26.585,,0.773,2605.908,,27.358
2001-10,DC,,0.056,,0.0,3.497,,0.056
2001-10,NV,,29.915,,0.236,2997.104,,30.153
2001-10,AL,,106.062,,10.003,10321.847,,116.065
2001-10,GA,,88.145,,11.78,8285.251,,99.926
2001-10,AK,,6.977,,0.41,579.703,,7.388
2001-10,KY,,79.524,,0.03,7582.673,,79.554
2001-10,AR,,43.031,,5.638,4087.246,,48.669
2001-10,KS,,38.745,,0.169,3511.12,,38.914
2001-10,IN,,105.279,,6.366,10054.997,,111.648
2001-10,IA,,36.131,,3.47,3279.149,,39.601
2001-10,NJ,,47.115,,2.705,4511.012,,49.824
2001-10,OR,,33.003,,1.044,3470.2,,34.048
2001-10,LA,,68.565,,18.525,6571.928,,87.085
2001-10,MT,,22.504,,0.641,2177.43,,23.147
2001-10,IL,,150.77,,3.777,13841.541,,154.55
2001-10,NM,,28.791,,0.337,2725.054,,29.129
