state,value,date
IA,4.226666666666667,2021-11-01
IA,4.488333333333333,2022-11-01
IA,3.9064516129032256,2019-12-01
IA,3.4725806451612904,2020-12-01
IA,4.288709677419354,2021-12-01
IA,4.503225806451613,2022-12-01
KS,4.090322580645161,2019-01-01
KS,4.230645161290322,2020-01-01
KS,4.067741935483871,2021-01-01
KS,4.087096774193548,2022-01-01
KS,4.7124999999999995,2019-02-01
KS,4.310344827586207,2020-02-01
KS,4.501785714285714,2021-02-01
KS,4.817857142857143,2022-02-01
KS,4.488709677419355,2019-03-01
KS,4.356451612903226,2020-03-01
KS,5.16774193548387,2021-03-01
KS,4.811290322580645,2022-03-01
KS,4.78,2019-04-01
KS,4.651666666666667,2020-04-01
KS,4.866666666666666,2021-04-01
KS,5.8983333333333325,2022-04-01
KS,4.111290322580645,2019-05-01
KS,3.730645161290323,2020-05-01
KS,3.7451612903225806,2021-05-01
KS,4.914516129032258,2022-05-01
KS,3.7333333333333334,2019-06-01
KS,4.62,2020-06-01
KS,3.4466666666666663,2021-06-01
KS,3.985,2022-06-01
KS,3.585483870967742,2019-07-01
KS,3.32741935483871,2020-07-01
KS,2.851612903225807,2021-07-01
KS,3.75,2022-07-01
KS,3.1370967741935485,2019-08-01
KS,2.9741935483870967,2020-08-01
KS,3.7129032258064516,2021-08-01
KS,3.4629032258064516,2022-08-01
KS,3.756666666666667,2019-09-01
KS,3.1233333333333335,2020-09-01
KS,3.7766666666666664,2021-09-01
KS,3.6083333333333334,2022-09-01
KS,4.435483870967742,2019-10-01
KS,4.182258064516129,2020-10-01
KS,4.001612903225807,2021-10-01
KS,3.7225806451612904,2022-10-01
KS,3.9949999999999997,2019-11-01
KS,4.371666666666667,2020-11-01
KS,3.9133333333333336,2021-11-01
KS,4.426666666666667,2022-11-01
KS,3.903225806451613,2019-12-01
KS,3.5951612903225807,2020-12-01
KS,4.153225806451613,2021-12-01
KS,4.348387096774194,2022-12-01
LA,3.4858064516129033,2019-01-01
LA,3.6193548387096777,2020-01-01
LA,3.57741935483871,2021-01-01
LA,3.910322580645161,2022-01-01
LA,4.185714285714286,2019-02-01
LA,4.01448275862069,2020-02-01
LA,4.0928571428571425,2021-02-01
